target,model,feature,importance
danceability,random_forest,acousticness,0.07544594798805059
danceability,random_forest,duration_ms,0.04222145971501924
danceability,random_forest,energy,0.07927807453393033
danceability,random_forest,instrumentalness,0.025813072599134103
danceability,random_forest,key,0.010783770636127602
danceability,random_forest,liveness,0.04540339430086089
danceability,random_forest,loudness,0.2516758074540048
danceability,random_forest,mode,0.0030213244540724933
danceability,random_forest,speechiness,0.11032054753868509
danceability,random_forest,tempo,0.12179001169151563
danceability,random_forest,time_signature,0.017123795824732373
danceability,random_forest,valence,0.19372809541503216
danceability,random_forest,popularity,0.02339469784883464
danceability,xgboost,acousticness,0.1097283586859703
danceability,xgboost,duration_ms,0.026524221524596214
danceability,xgboost,energy,0.08321454375982285
danceability,xgboost,instrumentalness,0.018233880400657654
danceability,xgboost,key,0.008708460256457329
danceability,xgboost,liveness,0.045505933463573456
danceability,xgboost,loudness,0.14444315433502197
danceability,xgboost,mode,0.012940878979861736
danceability,xgboost,speechiness,0.08904983103275299
danceability,xgboost,tempo,0.0817728340625763
danceability,xgboost,time_signature,0.14641132950782776
danceability,xgboost,valence,0.2101130336523056
danceability,xgboost,popularity,0.023353585973381996
energy,random_forest,acousticness,0.14607641518175093
energy,random_forest,danceability,0.022897579902541234
energy,random_forest,duration_ms,0.01179273032586597
energy,random_forest,instrumentalness,0.020435483716665006
energy,random_forest,key,0.004645300656433376
energy,random_forest,liveness,0.017341580726218213
energy,random_forest,loudness,0.6673566215908369
energy,random_forest,mode,0.00120119847246604
energy,random_forest,speechiness,0.028429832954966455
energy,random_forest,tempo,0.014087033225502154
energy,random_forest,time_signature,0.0008771603260854318
energy,random_forest,valence,0.05467400421190515
energy,random_forest,popularity,0.010185058708763023
energy,xgboost,acousticness,0.19474129378795624
energy,xgboost,danceability,0.03448506072163582
energy,xgboost,duration_ms,0.015333727933466434
energy,xgboost,instrumentalness,0.026029685512185097
energy,xgboost,key,0.0033625420182943344
energy,xgboost,liveness,0.03356119245290756
energy,xgboost,loudness,0.5526477098464966
energy,xgboost,mode,0.0054008024744689465
energy,xgboost,speechiness,0.03868330642580986
energy,xgboost,tempo,0.016553135588765144
energy,xgboost,time_signature,0.01407324057072401
energy,xgboost,valence,0.05377356708049774
energy,xgboost,popularity,0.01135476864874363
valence,random_forest,acousticness,0.08458010768692979
valence,random_forest,danceability,0.31715660055696143
valence,random_forest,duration_ms,0.08059930092627074
valence,random_forest,energy,0.12087758811272083
valence,random_forest,instrumentalness,0.05587271726728832
valence,random_forest,key,0.022918752656997644
valence,random_forest,liveness,0.0629320918779922
valence,random_forest,loudness,0.06452413699738946
valence,random_forest,mode,0.007124280382456261
valence,random_forest,speechiness,0.06390428537975622
valence,random_forest,tempo,0.07119872344467473
valence,random_forest,time_signature,0.007013906012193617
valence,random_forest,popularity,0.04129750869836866
valence,xgboost,acousticness,0.06171610578894615
valence,xgboost,danceability,0.32820162177085876
valence,xgboost,duration_ms,0.06072671338915825
valence,xgboost,energy,0.09984349459409714
valence,xgboost,instrumentalness,0.06251595169305801
valence,xgboost,key,0.028317678719758987
valence,xgboost,liveness,0.05516846477985382
valence,xgboost,loudness,0.053188927471637726
valence,xgboost,mode,0.05073782801628113
valence,xgboost,speechiness,0.042678654193878174
valence,xgboost,tempo,0.05435401573777199
valence,xgboost,time_signature,0.06592249125242233
valence,xgboost,popularity,0.03662802278995514
acousticness,random_forest,danceability,0.07932494628560144
acousticness,random_forest,duration_ms,0.027943456117069526
acousticness,random_forest,energy,0.6476516433838517
acousticness,random_forest,instrumentalness,0.02983502309504519
acousticness,random_forest,key,0.010985206736317896
acousticness,random_forest,liveness,0.025365101687277375
acousticness,random_forest,loudness,0.033126015564151436
acousticness,random_forest,mode,0.0027363352926163885
acousticness,random_forest,speechiness,0.037651485320719665
acousticness,random_forest,tempo,0.029332707943582306
acousticness,random_forest,time_signature,0.0034430220138928795
acousticness,random_forest,valence,0.05173602625411426
acousticness,random_forest,popularity,0.02086903030575986
acousticness,xgboost,danceability,0.06898576766252518
acousticness,xgboost,duration_ms,0.015040610916912556
acousticness,xgboost,energy,0.571527361869812
acousticness,xgboost,instrumentalness,0.025994976982474327
acousticness,xgboost,key,0.016225580126047134
acousticness,xgboost,liveness,0.019473599269986153
acousticness,xgboost,loudness,0.09447169303894043
acousticness,xgboost,mode,0.0130382115021348
acousticness,xgboost,speechiness,0.040809568017721176
acousticness,xgboost,tempo,0.023526424542069435
acousticness,xgboost,time_signature,0.047103699296712875
acousticness,xgboost,valence,0.04313754662871361
acousticness,xgboost,popularity,0.020664848387241364
loudness,random_forest,acousticness,0.014464243849994158
loudness,random_forest,danceability,0.020149863849073288
loudness,random_forest,duration_ms,0.016546578187800927
loudness,random_forest,energy,0.772336245764758
loudness,random_forest,instrumentalness,0.053999311295545784
loudness,random_forest,key,0.004104011436462498
loudness,random_forest,liveness,0.010642532506029579
loudness,random_forest,mode,0.0009086345672271521
loudness,random_forest,speechiness,0.025408448432300564
loudness,random_forest,tempo,0.010486553395374916
loudness,random_forest,time_signature,0.0008514563253221292
loudness,random_forest,valence,0.053628575896872206
loudness,random_forest,popularity,0.016473544493238672
loudness,xgboost,acousticness,0.07277338951826096
loudness,xgboost,danceability,0.01981191709637642
loudness,xgboost,duration_ms,0.020208047702908516
loudness,xgboost,energy,0.6495134234428406
loudness,xgboost,instrumentalness,0.08016282320022583
loudness,xgboost,key,0.005667727906256914
loudness,xgboost,liveness,0.012300262227654457
loudness,xgboost,mode,0.005503514315932989
loudness,xgboost,speechiness,0.02750944346189499
loudness,xgboost,tempo,0.014892521314322948
loudness,xgboost,time_signature,0.012052873149514198
loudness,xgboost,valence,0.05427691340446472
loudness,xgboost,popularity,0.025327185168862343
tempo,random_forest,acousticness,0.10016247510690342
tempo,random_forest,danceability,0.13126441750369314
tempo,random_forest,duration_ms,0.08474602631321224
tempo,random_forest,energy,0.14660165999261793
tempo,random_forest,instrumentalness,0.05873809417805659
tempo,random_forest,key,0.03431907538409256
tempo,random_forest,liveness,0.07279628883526683
tempo,random_forest,loudness,0.0792219735067874
tempo,random_forest,mode,0.007874686668044105
tempo,random_forest,speechiness,0.11095911321895087
tempo,random_forest,time_signature,0.013609528409575595
tempo,random_forest,valence,0.09899105199720962
tempo,random_forest,popularity,0.060715608885589696
tempo,xgboost,acousticness,0.12245332449674606
tempo,xgboost,danceability,0.08881774544715881
tempo,xgboost,duration_ms,0.05523556098341942
tempo,xgboost,energy,0.1462666392326355
tempo,xgboost,instrumentalness,0.05687202885746956
tempo,xgboost,key,0.03862622380256653
tempo,xgboost,liveness,0.05149047076702118
tempo,xgboost,loudness,0.07236526161432266
tempo,xgboost,mode,0.04288332164287567
tempo,xgboost,speechiness,0.0831676498055458
tempo,xgboost,time_signature,0.09688008576631546
tempo,xgboost,valence,0.09433875977993011
tempo,xgboost,popularity,0.050602953881025314
